"","x"
"1",4.01817658918201
"2",3.56449361070841
"3",3.57926777075754
"4",3.59665646980581
"5",3.56242084023653
"6",3.71149056877438
"7",4.90661871871876
"8",3.85673497890667
"9",3.55755195490283
"10",3.49429512530757
"11",3.6366670326243
"12",3.31621454624822
"13",3.70978924448267
"14",3.04412515922998
"15",4.46188001121744
"16",4.75859347362856
"17",3.8119309472155
"18",3.17287739461108
"19",3.96934436595766
"20",3.71409693227639
"21",3.58133347788321
"22",2.94844539767639
"23",4.4233957831485
"24",3.12615879502413
"25",3.45917531934919
"26",3.61807372539454
"27",3.60403775353776
"28",4.55001511981779
"29",4.58348570297704
"30",4.53357952944766
"31",3.18685267101823
"32",3.96004857221791
"33",3.57458578231365
"34",2.20504400283861
"35",3.06383427997578
"36",3.33945158782836
"37",3.38981227233941
"38",3.01719658059527
"39",4.88844595269147
"40",3.82072020901134
"41",2.75066054520784
"42",4.57337023363334
"43",3.22636370903554
"44",3.63092221544136
"45",3.17897143083816
"46",3.15135396153794
"47",4.13999260485598
"48",4.10110155060474
"49",2.50727034095167
"50",4.17182767692435
"51",3.51541918430903
"52",4.61996962388187
"53",3.27249940930587
"54",3.23833709046385
"55",2.84397090369667
"56",3.60122159631113
"57",3.89857958294187
"58",3.78307199953774
"59",3.53934404103278
"60",3.46453778567664
"61",3.53170733122717
"62",2.84004452418505
"63",2.42502453751922
"64",2.30431585473325
"65",4.14991057188825
"66",3.20285866212003
"67",4.19343693769343
"68",3.16264539713962
"69",3.61173301195841
"70",3.17622875230623
"71",3.42485748034796
"72",4.04963691643644
"73",3.65382244921616
"74",2.9315997875951
"75",4.61370780465074
"76",3.24901658453133
"77",2.72307219205939
"78",3.1425446631299
"79",4.15630687009952
"80",3.02433104841243
"81",4.56421780291867
"82",3.01689510134435
"83",2.84601573948375
"84",4.17079595604813
"85",4.53791303610233
"86",3.70394672222063
"87",4.51127436664192
"88",3.30940106050045
"89",3.63266554144842
"90",3.5784735041912
"91",4.32217454356292
"92",2.78535180336021
"93",4.18009277261909
"94",3.93819530849715
"95",4.471702228343
"96",3.71479290554301
"97",3.71017411695796
"98",3.31179849720262
"99",3.52167766578437
"100",3.78510100549209
"101",4.14928798291059
"102",4.75090246018468
"103",3.25799917279429
"104",3.97912269333166
"105",2.83092174133034
"106",3.66168326059792
"107",2.92722293366589
"108",2.56598056608703
"109",3.79509481683408
"110",3.66777187219017
"111",3.47309642752118
"112",3.98441525709194
"113",3.36557597514131
"114",2.68445755993674
"115",4.04089628950005
"116",4.40263923970859
"117",3.72998103456142
"118",3.38994121972927
"119",3.19269679946758
"120",4.22356108238259
"121",3.62114849083612
"122",3.98805804386211
"123",3.14379231441499
"124",2.73103665107787
"125",3.32451844260092
"126",2.94097300667918
"127",3.29310542267807
"128",3.87962452831916
"129",3.74843379207177
"130",4.48185516051235
"131",4.99578537629233
"132",3.12212754165059
"133",3.37157275932302
"134",2.70189988390859
"135",3.56430828237175
"136",3.61062081207055
"137",3.54725329947877
"138",4.66707479014554
"139",4.13658651579972
"140",2.47607764084389
"141",3.11746666183798
"142",2.57856642392251
"143",4.13994654518788
"144",3.56993774169981
"145",4.00501911310563
"146",3.74135926077506
"147",3.20686804092173
"148",2.62247592186608
"149",3.69253078065352
"150",3.12028455422877
"151",4.31286625957773
"152",4.39854315442352
"153",2.83086178251915
"154",3.76585601941798
"155",3.92658298942258
"156",3.05024409861107
"157",3.89988382058821
"158",3.28801958670922
"159",3.30715428544088
"160",4.23071608106918
"161",3.67794716588073
"162",2.42987316961029
"163",3.58934195762812
"164",3.14498360066251
"165",2.92350433635782
"166",3.41393449173414
"167",2.89927981292284
"168",3.12798713481558
"169",3.81319541404439
"170",3.48585111674112
"171",4.01688405895296
"172",3.58300969421611
"173",3.49196641032799
"174",3.66600914552364
"175",4.15503271493221
"176",3.58911300246441
"177",3.5615193032152
"178",3.03443962948325
"179",3.80671528905183
"180",4.06203764731831
"181",3.25465204395561
"182",4.52173418414249
"183",4.88012990275432
"184",2.40866873997186
"185",3.00300971922329
"186",3.70142284094263
"187",3.96874600014458
"188",2.66025452763845
"189",3.46474661042562
"190",3.7014447937682
"191",3.71449004510402
"192",2.94067576955649
"193",4.28624491155377
"194",3.83150118252751
"195",2.90314487911855
"196",3.93130182107354
"197",3.82510356206186
"198",3.51629672805916
"199",3.20699204865567
"200",4.330558103812
"201",2.9423519862165
"202",2.74152857805545
"203",3.03978878621654
"204",4.59343043137491
"205",3.04945262978473
"206",2.76093355470316
"207",4.01237116580674
"208",3.85768278394276
"209",3.31160213334254
"210",4.15986797026702
"211",3.86055184516271
"212",3.25891986078701
"213",3.80390616320617
"214",4.13817563504452
"215",3.35119848861201
"216",3.25726893373666
"217",3.16108026825376
"218",2.27389950467951
"219",3.49274525707784
"220",2.5437489338243
"221",3.7608197271116
"222",3.09955459649809
"223",4.21646227846513
"224",3.38558990677536
"225",3.4169613659222
"226",4.34113946855727
"227",3.69230697190567
"228",3.65226414484633
"229",3.8445236780397
"230",3.67407810992987
"231",4.57590270864371
"232",3.33590685751829
"233",3.57248551612211
"234",3.68226793399144
"235",2.63985958769439
"236",3.70637919150985
"237",3.91971282059152
"238",4.14331747326525
"239",3.63049276504056
"240",3.10867480707163
"241",2.31539776844887
"242",3.59532067309192
"243",3.44418436019379
"244",3.28118195916628
"245",3.52949728345242
"246",4.3390608353375
"247",3.93907344242866
"248",3.96674918357944
"249",3.28568159761977
"250",4.43263335644313
"251",3.85246877995694
"252",3.51501630959744
"253",3.17059186245191
"254",4.34816292238704
"255",3.98323356915707
"256",3.34290377255339
"257",3.61966801332298
"258",2.89077867264452
"259",3.97957046713118
"260",4.32577099639247
"261",4.32809148982626
"262",3.89278248156642
"263",3.93314454488287
"264",3.5927701697807
"265",3.50506613644194
"266",3.77903689578433
"267",2.76372041150488
"268",2.87368763116031
"269",3.89946044926696
"270",3.78864992732787
"271",3.37220631748411
"272",3.50990216083545
"273",3.93127548829699
"274",3.58924028500792
"275",3.20715202762161
"276",4.15710612693514
"277",3.8540538129831
"278",3.98308141151932
"279",3.73751936344507
"280",3.6575453899219
"281",3.14092265103885
"282",2.9905457595822
"283",3.4649328819306
"284",3.55894582280045
"285",4.83244929437277
"286",2.84305914377189
"287",3.11313586818096
"288",3.45416383584999
"289",2.82259533198415
"290",4.56540624329907
"291",4.35986122840329
"292",4.03298390561588
"293",3.13665574429762
"294",3.76704292143488
"295",4.18328749257772
"296",2.97111674838697
"297",2.92735770057945
"298",3.78444467065502
"299",3.61539258216829
"300",2.65499591010597
"301",3.82172460272881
"302",3.73933177658109
"303",4.38854881091623
"304",3.68273864544835
"305",4.19900707361696
"306",4.22099412365043
"307",3.43267998833804
"308",4.27072662738361
"309",3.39990808638515
"310",3.79569061655766
"311",3.65329880629912
"312",2.5306591396282
"313",3.48367896362225
"314",4.77904429751868
"315",4.02590453194588
"316",4.2420057026975
"317",4.19238163296043
"318",3.92583108171564
"319",3.36334288513034
"320",2.61562969900786
"321",3.26404822366173
"322",3.72039220588596
"323",1.98372516158585
"324",4.01758872512591
"325",3.06332995679173
"326",4.19105477717013
"327",2.86916717214501
"328",3.69779713887667
"329",3.92547771929116
"330",3.66672550451161
"331",4.14975650928937
"332",3.52098045577919
"333",2.84254146776698
"334",3.26633645084563
"335",3.47095423870417
"336",2.08407643229573
"337",3.4685679491702
"338",4.0515948405774
"339",3.91220084665881
"340",3.96141907889926
"341",4.59221363689144
"342",3.54593841003217
"343",2.29681899713407
"344",3.55969297016925
"345",3.10015605216498
"346",4.14479885258217
"347",4.1599224927641
"348",3.59440531926913
"349",3.57331791687466
"350",3.24458805239156
"351",3.93017883938028
"352",4.35394872393185
"353",3.83215702449781
"354",3.23016913095722
"355",3.51993687182105
"356",3.38204571742729
"357",3.58659723149583
"358",4.01137586482889
"359",3.73753849706817
"360",3.97764266516371
"361",3.89133618169784
"362",3.15812942037259
"363",3.39456879330705
"364",4.04025515250753
"365",3.17087303382376
"366",2.57733308265176
"367",3.3515335477184
"368",3.89213547670722
"369",3.0891237967233
"370",3.27860201763861
"371",3.62910329299506
"372",3.42196228868417
"373",3.78321573360501
"374",3.68157667854782
"375",4.01206340298883
"376",3.05813967748026
"377",4.05565850109296
"378",3.7876481752179
"379",3.19998327706504
"380",2.37031041836378
"381",3.59365715004761
"382",3.72273184519405
"383",3.73604958269348
"384",2.9378745141449
"385",4.40382424420705
"386",3.1217067976095
"387",2.94913438108326
"388",4.1641182835022
"389",3.55534599624555
"390",4.15315594429745
"391",3.65857661257207
"392",5
"393",3.97093431529024
"394",2.77668438579401
"395",4.4470784458596
"396",3.29887497455864
"397",4.5514623921938
"398",3.92365068239996
"399",4.51876137480905
"400",2.56441447427594
"401",3.52792862254586
"402",3.15694974084378
"403",4.05622989808216
"404",4.10935523252467
"405",3.8782779892521
"406",3.79816313394497
"407",4.04643056039864
"408",4.27423205569449
"409",2.87028420039872
"410",3.56256710083013
"411",4.3047191043692
"412",3.3165802167593
"413",3.33310975536625
"414",3.60610719164351
"415",3.7675659373581
"416",3.78317983666597
"417",3.42602800122963
"418",3.39956383316963
"419",3.16915638382096
"420",2.89549005159476
"421",3.58986188650877
"422",3.60070196770324
"423",4.23017261145101
"424",4.62860508848216
"425",4.2560602898855
"426",4.4447634564205
"427",2.58157515572617
"428",3.68783583539128
"429",3.65457629652695
"430",4.03652635935287
"431",3.8849183969306
"432",3.69280390683076
"433",3.92262875670934
"434",3.32462375108092
"435",4.33307276796655
"436",4.31023695634123
"437",3.72635618069697
"438",3.62699312903847
"439",3.26536438575447
"440",3.72871072377629
"441",3.61407227969574
"442",3.48646459541778
"443",3.05744995403971
"444",3.08447274315007
"445",3.647418722008
"446",2.74007370654223
"447",3.13474059663866
"448",3.73038549024883
"449",3.47192382049179
"450",3.93930192634834
"451",3.25387723553388
"452",3.05335069893601
"453",3.69444122044531
"454",3.77952025448482
"455",4.10773846560102
"456",3.44355614441214
"457",3.70456239056359
"458",3.11445367451029
"459",3.39011636424878
"460",4.54097575008436
"461",2.99203456596413
"462",4.43878985653149
"463",3.37761181778683
"464",3.55701566243441
"465",3.8213849917542
"466",3.69950678445749
"467",2.95465826373539
"468",2.60158979481041
"469",3.17752576979101
"470",4.04069335988974
"471",3.25319038371866
"472",3.90679379523419
"473",3.56675633790128
"474",3.87023820205411
"475",3.66145200870607
"476",3.19895402380175
"477",4.17757104372232
"478",3.73372381037813
"479",3.42514117406171
"480",4.18217026094054
"481",4.67097411218439
"482",3.62353339812484
"483",3.86291602230592
"484",4.04835832339972
"485",4.01985850149044
"486",4.29023162263343
"487",2.9544057428708
"488",2.79558834771756
"489",3.44608342398235
"490",3.06621407392843
"491",4.26429403466564
"492",3.76107810050889
"493",3.14192973397252
"494",4.77892138193575
"495",4.19660592161181
"496",3.31493233721471
"497",4.6686683380954
"498",4.14759663147238
"499",3.99138033552892
"500",3.2737365128287
"501",3.96428070583228
"502",3.63766980499622
"503",3.39991339803055
"504",3.97394927937854
"505",2.32210252033853
"506",3.83467794184157
"507",3.14802000182578
"508",3.70752768060642
"509",3.41234602285419
"510",3.98303538456096
"511",3.2277410089276
"512",3.08814183963211
"513",3.51094560984307
"514",2.73902810208976
"515",3.15782627237788
"516",4.16096732146368
"517",1.98163165280771
"518",3.95832074565522
"519",4.3306247986588
"520",4.3916002559028
"521",3.07744993130001
"522",4.60456137402312
"523",3.34741699429882
"524",3.99921874509419
"525",3.64152109279458
"526",3.55335215908731
"527",4.22179965331121
"528",3.22607414291825
"529",4.56183203135592
"530",4.3461773239824
"531",3.36069029935404
"532",2.79498321235242
"533",3.46365307513215
"534",3.60319478049911
"535",4.03751526927706
"536",3.77588095700918
"537",2.75696897765152
"538",3.31716037936682
"539",3.98970684675299
"540",4.36487442074607
"541",3.34022648273595
"542",1.98364403217083
"543",3.27368008147117
"544",4.01430385115873
"545",3.5784596567564
"546",3.80899488987087
"547",4.00564961663038
"548",4.55689391457817
"549",3.51182673858508
"550",3.92905309976145
"551",3.62368283510962
"552",4.28152234026577
"553",4.75750701714006
"554",3.11409611736547
"555",3.74475860999241
"556",2.88590624410209
"557",2.79500519530387
"558",3.34503292428559
"559",3.57700945029238
"560",3.84197300400113
"561",3.48215729216187
"562",3.87484539825651
"563",3.93575627448266
"564",3.1316175889262
"565",4.05082053033731
"566",3.07235603823614
"567",3.06611146899731
"568",3.25982180787077
"569",4.10745043760791
"570",3.22390154637877
"571",3.4958319856432
"572",3.48454132471704
"573",2.97739613848139
"574",3.46474453598688
"575",3.16650239229264
"576",2.95261839640006
"577",2.9088107008145
"578",3.95734846358813
"579",2.54586452827548
"580",4.35078459232879
"581",2.96880313085242
"582",3.93354455597776
"583",4.19742553061938
"584",2.99274048149367
"585",4.27419221054062
"586",3.12423545763823
"587",4.30669469052503
"588",3.75954400519587
"589",4.56041730927732
"590",3.83420499325294
"591",4.27343708835561
"592",4.30722777698315
"593",3.33840478656328
"594",2.67186664025462
"595",3.95826599260893
"596",3.81221763377957
"597",4.32105192145843
"598",3.37825957847108
"599",4.33049775321157
"600",2.91407834032532
"601",4.25676312923091
"602",4.00782228183571
"603",3.23892534861804
"604",4.25970554228976
"605",2.77392997419565
"606",3.20898726905748
"607",3.42448944706766
"608",4.11377682856124
"609",3.61930728215571
"610",3.58873401137246
"611",3.92260076114593
"612",4.71942202917303
"613",3.50833780512695
"614",3.27721283171273
"615",3.37177052408645
"616",2.53401014211009
"617",3.60679616588853
"618",3.8380896466923
"619",2.7765023187961
"620",3.38292642702879
"621",3.90351033216587
"622",4.67798031472393
"623",3.4708461874813
"624",4.18503058062173
"625",4.35550258030469
"626",4.60771945468683
"627",3.76957286566356
"628",3.43375982375326
"629",4.33145246075765
"630",4.08698157799841
"631",3.49592181020892
"632",3.67131340279645
"633",4.02581028015476
"634",3.93901583315258
"635",3.02035536596944
"636",3.19515060064672
"637",3.84167338023049
"638",2.87219461944485
"639",4.23118115003869
"640",2.25464498190388
"641",2.81197216562965
"642",3.58556956227557
"643",3.55620506463034
"644",3.30464196729301
"645",4.06654295645298
"646",4.26001205730189
"647",3.3336662386777
"648",4.33140199829456
"649",2.77000790609778
"650",3.86465138315177
"651",4.16345360371286
"652",3.77048722886841
"653",3.61720306382555
"654",3.17875512234981
"655",3.80347161886871
"656",3.63423373685893
